cat_id,ps_id,candidate_id,provenance
1,1,CAT1_PS1,Cartesian product of independently thresholded descriptor IDs
1,4,CAT1_PS4,Cartesian product of independently thresholded descriptor IDs
1,12,CAT1_PS12,Cartesian product of independently thresholded descriptor IDs
1,17,CAT1_PS17,Cartesian product of independently thresholded descriptor IDs
1,18,CAT1_PS18,Cartesian product of independently thresholded descriptor IDs
1,20,CAT1_PS20,Cartesian product of independently thresholded descriptor IDs
1,28,CAT1_PS28,Cartesian product of independently thresholded descriptor IDs
1,33,CAT1_PS33,Cartesian product of independently thresholded descriptor IDs
1,36,CAT1_PS36,Cartesian product of independently thresholded descriptor IDs
1,41,CAT1_PS41,Cartesian product of independently thresholded descriptor IDs
2,1,CAT2_PS1,Cartesian product of independently thresholded descriptor IDs
2,4,CAT2_PS4,Cartesian product of independently thresholded descriptor IDs
2,12,CAT2_PS12,Cartesian product of independently thresholded descriptor IDs
2,17,CAT2_PS17,Cartesian product of independently thresholded descriptor IDs
2,18,CAT2_PS18,Cartesian product of independently thresholded descriptor IDs
2,20,CAT2_PS20,Cartesian product of independently thresholded descriptor IDs
2,28,CAT2_PS28,Cartesian product of independently thresholded descriptor IDs
2,33,CAT2_PS33,Cartesian product of independently thresholded descriptor IDs
2,36,CAT2_PS36,Cartesian product of independently thresholded descriptor IDs
2,41,CAT2_PS41,Cartesian product of independently thresholded descriptor IDs
3,1,CAT3_PS1,Cartesian product of independently thresholded descriptor IDs
3,4,CAT3_PS4,Cartesian product of independently thresholded descriptor IDs
3,12,CAT3_PS12,Cartesian product of independently thresholded descriptor IDs
3,17,CAT3_PS17,Cartesian product of independently thresholded descriptor IDs
3,18,CAT3_PS18,Cartesian product of independently thresholded descriptor IDs
3,20,CAT3_PS20,Cartesian product of independently thresholded descriptor IDs
3,28,CAT3_PS28,Cartesian product of independently thresholded descriptor IDs
3,33,CAT3_PS33,Cartesian product of independently thresholded descriptor IDs
3,36,CAT3_PS36,Cartesian product of independently thresholded descriptor IDs
3,41,CAT3_PS41,Cartesian product of independently thresholded descriptor IDs
13,1,CAT13_PS1,Cartesian product of independently thresholded descriptor IDs
13,4,CAT13_PS4,Cartesian product of independently thresholded descriptor IDs
13,12,CAT13_PS12,Cartesian product of independently thresholded descriptor IDs
13,17,CAT13_PS17,Cartesian product of independently thresholded descriptor IDs
13,18,CAT13_PS18,Cartesian product of independently thresholded descriptor IDs
13,20,CAT13_PS20,Cartesian product of independently thresholded descriptor IDs
13,28,CAT13_PS28,Cartesian product of independently thresholded descriptor IDs
13,33,CAT13_PS33,Cartesian product of independently thresholded descriptor IDs
13,36,CAT13_PS36,Cartesian product of independently thresholded descriptor IDs
13,41,CAT13_PS41,Cartesian product of independently thresholded descriptor IDs
14,1,CAT14_PS1,Cartesian product of independently thresholded descriptor IDs
14,4,CAT14_PS4,Cartesian product of independently thresholded descriptor IDs
14,12,CAT14_PS12,Cartesian product of independently thresholded descriptor IDs
14,17,CAT14_PS17,Cartesian product of independently thresholded descriptor IDs
14,18,CAT14_PS18,Cartesian product of independently thresholded descriptor IDs
14,20,CAT14_PS20,Cartesian product of independently thresholded descriptor IDs
14,28,CAT14_PS28,Cartesian product of independently thresholded descriptor IDs
14,33,CAT14_PS33,Cartesian product of independently thresholded descriptor IDs
14,36,CAT14_PS36,Cartesian product of independently thresholded descriptor IDs
14,41,CAT14_PS41,Cartesian product of independently thresholded descriptor IDs
15,1,CAT15_PS1,Cartesian product of independently thresholded descriptor IDs
15,4,CAT15_PS4,Cartesian product of independently thresholded descriptor IDs
15,12,CAT15_PS12,Cartesian product of independently thresholded descriptor IDs
15,17,CAT15_PS17,Cartesian product of independently thresholded descriptor IDs
15,18,CAT15_PS18,Cartesian product of independently thresholded descriptor IDs
15,20,CAT15_PS20,Cartesian product of independently thresholded descriptor IDs
15,28,CAT15_PS28,Cartesian product of independently thresholded descriptor IDs
15,33,CAT15_PS33,Cartesian product of independently thresholded descriptor IDs
15,36,CAT15_PS36,Cartesian product of independently thresholded descriptor IDs
15,41,CAT15_PS41,Cartesian product of independently thresholded descriptor IDs
25,1,CAT25_PS1,Cartesian product of independently thresholded descriptor IDs
25,4,CAT25_PS4,Cartesian product of independently thresholded descriptor IDs
25,12,CAT25_PS12,Cartesian product of independently thresholded descriptor IDs
25,17,CAT25_PS17,Cartesian product of independently thresholded descriptor IDs
25,18,CAT25_PS18,Cartesian product of independently thresholded descriptor IDs
25,20,CAT25_PS20,Cartesian product of independently thresholded descriptor IDs
25,28,CAT25_PS28,Cartesian product of independently thresholded descriptor IDs
25,33,CAT25_PS33,Cartesian product of independently thresholded descriptor IDs
25,36,CAT25_PS36,Cartesian product of independently thresholded descriptor IDs
25,41,CAT25_PS41,Cartesian product of independently thresholded descriptor IDs
26,1,CAT26_PS1,Cartesian product of independently thresholded descriptor IDs
26,4,CAT26_PS4,Cartesian product of independently thresholded descriptor IDs
26,12,CAT26_PS12,Cartesian product of independently thresholded descriptor IDs
26,17,CAT26_PS17,Cartesian product of independently thresholded descriptor IDs
26,18,CAT26_PS18,Cartesian product of independently thresholded descriptor IDs
26,20,CAT26_PS20,Cartesian product of independently thresholded descriptor IDs
26,28,CAT26_PS28,Cartesian product of independently thresholded descriptor IDs
26,33,CAT26_PS33,Cartesian product of independently thresholded descriptor IDs
26,36,CAT26_PS36,Cartesian product of independently thresholded descriptor IDs
26,41,CAT26_PS41,Cartesian product of independently thresholded descriptor IDs
27,1,CAT27_PS1,Cartesian product of independently thresholded descriptor IDs
27,4,CAT27_PS4,Cartesian product of independently thresholded descriptor IDs
