source_row,pass_J_gt_50,pass_Jstar_gt_0p01,pass_both,J_rank_descending,Jstar_rank_descending,source,sheet,identity
2,True,True,True,8,1,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
3,False,False,False,27,33,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
4,False,False,False,13,18,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
5,False,True,False,23,6,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
6,False,True,False,11,7,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
7,False,True,False,28,5,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
8,False,False,False,21,22,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
9,False,False,False,24,20,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
10,False,True,False,33,9,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
11,False,True,False,17,14,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
12,False,True,False,29,15,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
13,False,True,False,31,3,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
14,False,False,False,25,25,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
15,True,False,False,6,31,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
16,False,False,False,20,26,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
17,False,False,False,32,19,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
18,False,False,False,26,34,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
19,False,False,False,34,32,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
20,False,False,False,30,30,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
21,True,True,True,9,2,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
22,False,True,False,18,12,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
23,False,False,False,10,23,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
24,False,False,False,12,27,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
25,True,True,True,1,8,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
26,True,True,True,2,11,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
27,True,True,True,3,17,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
28,False,True,False,22,13,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
29,True,True,True,4,4,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
30,True,True,True,5,10,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
31,True,False,False,7,28,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
32,False,True,False,14,16,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
33,False,False,False,16,24,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
34,False,False,False,15,21,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
35,False,False,False,19,29,41929_2025_1291_MOESM11_ESM.xlsx,Fig.1d,unresolved
