figure,target,split,component,n_samples,units,n_values,pearson_r,r2,mae,rmse
5,catalyst_intrinsic,train,x,900,not_specified,900,0.9153513625924716,0.8290787344945748,1.3164176541855555,2.0134921184436148
5,catalyst_intrinsic,train,y,900,not_specified,900,0.9526359412521619,0.9070476353027208,1.983062788888889,3.1395778416248716
5,catalyst_intrinsic,train,z,900,not_specified,900,0.9256912277050479,0.8505787184053271,0.9820424955733335,1.5768445799057391
5,catalyst_intrinsic,train,pooled_xyz,900,not_specified,2700,0.9453558131953644,0.8921756551416663,1.4271743128825927,2.337914908904553
5,catalyst_intrinsic,test,x,100,not_specified,100,0.9173351637777887,0.8377008824955592,1.4838898,2.242831417119887
5,catalyst_intrinsic,test,y,100,not_specified,100,0.9777351542703024,0.9516273480670588,2.0362009999999997,2.611431374739532
5,catalyst_intrinsic,test,z,100,not_specified,100,0.9042033968515396,0.8089630771044058,1.2652192,1.5163267953993296
5,catalyst_intrinsic,test,pooled_xyz,100,not_specified,300,0.9641681728060204,0.9287393761623143,1.5951033333333335,2.171720787842366
6,photosensitizer_intrinsic,train,x,900,not_specified,900,0.9801505781342345,0.9606016579635938,1.291926611111111,1.8133067583402855
6,photosensitizer_intrinsic,train,y,900,not_specified,900,0.9026443272353144,0.8125716006711365,1.272385388888889,1.6653765995865786
6,photosensitizer_intrinsic,train,z,900,not_specified,900,0.9381573827171288,0.8798095099120286,0.9100831666666667,1.2963525809519485
6,photosensitizer_intrinsic,train,pooled_xyz,900,not_specified,2700,0.9650315650318472,0.9311988703203199,1.1581317222222223,1.6064547542579477
6,photosensitizer_intrinsic,test,x,100,not_specified,100,0.9771814268225364,0.9542089443485836,1.4389446000000001,1.8473031277356728
6,photosensitizer_intrinsic,test,y,100,not_specified,100,0.9082282980292571,0.8177668098570829,1.0870366800000002,1.2979909836085302
6,photosensitizer_intrinsic,test,z,100,not_specified,100,0.9460055750011449,0.8938131874691911,0.8956522,1.3392638831104196
6,photosensitizer_intrinsic,test,pooled_xyz,100,not_specified,300,0.9655379528833585,0.931915267788006,1.1405444933333333,1.5155787879965243
7,catalyst_transition,train,x,900,not_specified,900,0.8564213621458945,0.7297659836396087,0.03165081947377778,0.05125975989712859
7,catalyst_transition,train,y,900,not_specified,900,0.8476922778152396,0.6924045452518446,0.03678304373822223,0.06834074394796323
7,catalyst_transition,train,z,900,not_specified,900,0.8517770480324602,0.6930845147459647,0.03029718050011111,0.04472615189422069
7,catalyst_transition,train,pooled_xyz,900,not_specified,2700,0.8446950660881588,0.7041060078772443,0.03291034790403704,0.05567300043209828
7,catalyst_transition,test,x,100,not_specified,100,0.8814819289488409,0.7767631002017378,0.028748923569999998,0.04065435181947983
7,catalyst_transition,test,y,100,not_specified,100,0.8565537356344103,0.7300661199232132,0.03569678588,0.05643300101356212
7,catalyst_transition,test,z,100,not_specified,100,0.920696329865044,0.8067929400461261,0.02903298,0.04115270230738195
7,catalyst_transition,test,pooled_xyz,100,not_specified,300,0.879775059848105,0.7681869020009154,0.03115956315,0.046658349851013615
8,photosensitizer_transition,train,x,900,not_specified,900,0.8492032917536068,0.7204043526409167,0.2565443777777778,0.331029012731177
8,photosensitizer_transition,train,y,900,not_specified,900,0.8964673007404951,0.7911053630872724,0.10215379852555556,0.1360670802492007
8,photosensitizer_transition,train,z,900,not_specified,900,0.8681372324285292,0.7330825735791624,0.2171505566666667,0.2899680540110295
8,photosensitizer_transition,train,pooled_xyz,900,not_specified,2700,0.8624152700129744,0.7410050049149852,0.19194957765666665,0.2659423057383334
8,photosensitizer_transition,test,x,100,not_specified,100,0.8463067841552493,0.7059038666266935,0.26795899999999995,0.3553691693914935
8,photosensitizer_transition,test,y,100,not_specified,100,0.8881553158469317,0.7711343050622427,0.11321933708000001,0.15371748870817234
8,photosensitizer_transition,test,z,100,not_specified,100,0.8934936606848638,0.7736586160062222,0.21595474999999997,0.2877018127423774
8,photosensitizer_transition,test,pooled_xyz,100,not_specified,300,0.8643359654850252,0.745102804023604,0.19904436235999998,0.2785011346140844
