figure,target,split,component,n_samples,units,n,pearson_r,r2,mae,rmse,bias
5,catalyst_intrinsic,train,x,900,released_numeric_units_unspecified,900,0.9153513625924715,0.8290787344945747,1.3164176541855555,2.0134921184436148,0.44134194307444446
5,catalyst_intrinsic,train,y,900,released_numeric_units_unspecified,900,0.9526359412521618,0.9070476353027208,1.983062788888889,3.1395778416248716,0.16708045555555556
5,catalyst_intrinsic,train,z,900,released_numeric_units_unspecified,900,0.9256912277050475,0.8505787184053271,0.9820424955733335,1.5768445799057391,0.12566683776000004
5,catalyst_intrinsic,train,pooled_xyz,900,released_numeric_units_unspecified,2700,0.9453558131953644,0.8921756551416663,1.4271743128825927,2.337914908904553,0.24469641212999999
5,catalyst_intrinsic,test,x,100,released_numeric_units_unspecified,100,0.917335163777789,0.8377008824955592,1.4838898,2.242831417119887,0.33585499999999996
5,catalyst_intrinsic,test,y,100,released_numeric_units_unspecified,100,0.9777351542703023,0.9516273480670588,2.0362009999999997,2.611431374739532,-0.3376192
5,catalyst_intrinsic,test,z,100,released_numeric_units_unspecified,100,0.9042033968515396,0.8089630771044058,1.2652192,1.5163267953993296,0.2598166
5,catalyst_intrinsic,test,pooled_xyz,100,released_numeric_units_unspecified,300,0.9641681728060206,0.9287393761623143,1.5951033333333335,2.171720787842366,0.08601746666666664
6,photosensitizer_intrinsic,train,x,900,released_numeric_units_unspecified,900,0.9801505781342347,0.9606016579635938,1.291926611111111,1.8133067583402855,-0.07885692222222221
6,photosensitizer_intrinsic,train,y,900,released_numeric_units_unspecified,900,0.9026443272353146,0.8125716006711364,1.272385388888889,1.6653765995865786,0.10609374444444446
6,photosensitizer_intrinsic,train,z,900,released_numeric_units_unspecified,900,0.9381573827171289,0.8798095099120286,0.9100831666666667,1.2963525809519485,0.06336987777777778
6,photosensitizer_intrinsic,train,pooled_xyz,900,released_numeric_units_unspecified,2700,0.9650315650318475,0.9311988703203199,1.1581317222222223,1.6064547542579477,0.030202233333333325
6,photosensitizer_intrinsic,test,x,100,released_numeric_units_unspecified,100,0.9771814268225362,0.9542089443485836,1.4389446000000001,1.8473031277356728,0.1511681999999999
6,photosensitizer_intrinsic,test,y,100,released_numeric_units_unspecified,100,0.9082282980292568,0.8177668098570829,1.0870366800000002,1.2979909836085302,-0.03995648
6,photosensitizer_intrinsic,test,z,100,released_numeric_units_unspecified,100,0.9460055750011449,0.8938131874691911,0.8956522,1.3392638831104196,-0.09731160000000003
6,photosensitizer_intrinsic,test,pooled_xyz,100,released_numeric_units_unspecified,300,0.9655379528833589,0.931915267788006,1.1405444933333333,1.5155787879965243,0.004633373333333282
7,catalyst_transition,train,x,900,released_numeric_units_unspecified,900,0.8564213621458945,0.7297659836396087,0.03165081947377778,0.05125975989712859,-0.005723678708666667
7,catalyst_transition,train,y,900,released_numeric_units_unspecified,900,0.8476922778152397,0.6924045452518446,0.03678304373822223,0.06834074394796323,0.015108915115777777
7,catalyst_transition,train,z,900,released_numeric_units_unspecified,900,0.85177704803246,0.6930845147459648,0.03029718050011111,0.04472615189422069,0.014534887047
7,catalyst_transition,train,pooled_xyz,900,released_numeric_units_unspecified,2700,0.8446950660881589,0.7041060078772443,0.03291034790403704,0.05567300043209828,0.007973374484703703
7,catalyst_transition,test,x,100,released_numeric_units_unspecified,100,0.881481928948841,0.7767631002017377,0.028748923569999998,0.04065435181947983,-0.0013408788900000008
7,catalyst_transition,test,y,100,released_numeric_units_unspecified,100,0.8565537356344098,0.7300661199232134,0.03569678588,0.05643300101356212,0.005668814999999999
7,catalyst_transition,test,z,100,released_numeric_units_unspecified,100,0.9206963298650439,0.806792940046126,0.02903298,0.04115270230738195,0.01784504
7,catalyst_transition,test,pooled_xyz,100,released_numeric_units_unspecified,300,0.8797750598481051,0.7681869020009154,0.03115956315,0.046658349851013615,0.007390992036666666
8,photosensitizer_transition,train,x,900,released_numeric_units_unspecified,900,0.8492032917536063,0.7204043526409167,0.2565443777777778,0.331029012731177,-0.013838355555555555
8,photosensitizer_transition,train,y,900,released_numeric_units_unspecified,900,0.8964673007404951,0.7911053630872724,0.10215379852555556,0.1360670802492007,0.022067789505555557
8,photosensitizer_transition,train,z,900,released_numeric_units_unspecified,900,0.8681372324285291,0.7330825735791624,0.2171505566666667,0.2899680540110295,-0.07441573888888889
8,photosensitizer_transition,train,pooled_xyz,900,released_numeric_units_unspecified,2700,0.8624152700129741,0.7410050049149852,0.19194957765666665,0.2659423057383334,-0.0220621016462963
8,photosensitizer_transition,test,x,100,released_numeric_units_unspecified,100,0.8463067841552495,0.7059038666266935,0.26795899999999995,0.3553691693914935,0.05953699999999999
8,photosensitizer_transition,test,y,100,released_numeric_units_unspecified,100,0.888155315846932,0.7711343050622427,0.11321933708000001,0.15371748870817234,0.042442337079999996
8,photosensitizer_transition,test,z,100,released_numeric_units_unspecified,100,0.8934936606848635,0.7736586160062222,0.21595474999999997,0.2877018127423774,-0.07956994999999999
8,photosensitizer_transition,test,pooled_xyz,100,released_numeric_units_unspecified,300,0.8643359654850253,0.7451028040236038,0.19904436235999998,0.2785011346140844,0.007469795693333336
