id,species,criterion,source,sheet,cell,identity_basis
1,CAT,value < -0.2 eV,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 1,A2,SI Tables 1–2 corroborate sequential row IDs
2,CAT,value < -0.2 eV,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 1,A3,SI Tables 1–2 corroborate sequential row IDs
3,CAT,value < -0.2 eV,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 1,A4,SI Tables 1–2 corroborate sequential row IDs
13,CAT,value < -0.2 eV,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 1,A14,SI Tables 1–2 corroborate sequential row IDs
14,CAT,value < -0.2 eV,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 1,A15,SI Tables 1–2 corroborate sequential row IDs
15,CAT,value < -0.2 eV,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 1,A16,SI Tables 1–2 corroborate sequential row IDs
25,CAT,value < -0.2 eV,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 1,A26,SI Tables 1–2 corroborate sequential row IDs
26,CAT,value < -0.2 eV,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 1,A27,SI Tables 1–2 corroborate sequential row IDs
27,CAT,value < -0.2 eV,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 1,A28,SI Tables 1–2 corroborate sequential row IDs
37,CAT,value < -0.2 eV,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 1,A38,SI Tables 1–2 corroborate sequential row IDs
38,CAT,value < -0.2 eV,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 1,A39,SI Tables 1–2 corroborate sequential row IDs
39,CAT,value < -0.2 eV,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 1,A40,SI Tables 1–2 corroborate sequential row IDs
49,CAT,value < -0.2 eV,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 1,A50,SI Tables 1–2 corroborate sequential row IDs
50,CAT,value < -0.2 eV,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 1,A51,SI Tables 1–2 corroborate sequential row IDs
51,CAT,value < -0.2 eV,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 1,A52,SI Tables 1–2 corroborate sequential row IDs
61,CAT,value < -0.2 eV,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 1,A62,SI Tables 1–2 corroborate sequential row IDs
62,CAT,value < -0.2 eV,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 1,A63,SI Tables 1–2 corroborate sequential row IDs
63,CAT,value < -0.2 eV,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 1,A64,SI Tables 1–2 corroborate sequential row IDs
