id,species,criterion,source,sheet,cell,identity_basis
1,PS,value > 90 ns,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 2,A2,SI Tables 1–2 corroborate sequential row IDs
4,PS,value > 90 ns,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 2,A5,SI Tables 1–2 corroborate sequential row IDs
12,PS,value > 90 ns,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 2,A13,SI Tables 1–2 corroborate sequential row IDs
17,PS,value > 90 ns,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 2,A18,SI Tables 1–2 corroborate sequential row IDs
18,PS,value > 90 ns,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 2,A19,SI Tables 1–2 corroborate sequential row IDs
20,PS,value > 90 ns,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 2,A21,SI Tables 1–2 corroborate sequential row IDs
28,PS,value > 90 ns,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 2,A29,SI Tables 1–2 corroborate sequential row IDs
33,PS,value > 90 ns,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 2,A34,SI Tables 1–2 corroborate sequential row IDs
36,PS,value > 90 ns,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 2,A37,SI Tables 1–2 corroborate sequential row IDs
41,PS,value > 90 ns,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Fig. 2,A42,SI Tables 1–2 corroborate sequential row IDs
