J_threshold_exclusive,Jstar_threshold_exclusive,supplied_point_count,selected_count,overlap_with_probe_seven,added_to_probe_count,removed_from_probe_count,jaccard_with_probe_seven,same_seven_point_set
20.0,0.002,34,20,7,13,0,0.35,False
20.0,0.003,34,19,7,12,0,0.3684210526315789,False
20.0,0.005,34,15,7,8,0,0.4666666666666667,False
20.0,0.01,34,11,7,4,0,0.6363636363636364,False
20.0,0.015,34,9,6,3,1,0.6,False
20.0,0.02,34,6,5,1,2,0.625,False
20.0,0.03,34,3,3,0,4,0.42857142857142855,False
30.0,0.002,34,13,7,6,0,0.5384615384615384,False
30.0,0.003,34,12,7,5,0,0.5833333333333334,False
30.0,0.005,34,10,7,3,0,0.7,False
30.0,0.01,34,8,7,1,0,0.875,False
30.0,0.015,34,7,6,1,1,0.75,False
30.0,0.02,34,6,5,1,2,0.625,False
30.0,0.03,34,3,3,0,4,0.42857142857142855,False
40.0,0.002,34,10,7,3,0,0.7,False
40.0,0.003,34,9,7,2,0,0.7777777777777778,False
40.0,0.005,34,8,7,1,0,0.875,False
40.0,0.01,34,7,7,0,0,1.0,True
40.0,0.015,34,6,6,0,1,0.8571428571428571,False
40.0,0.02,34,5,5,0,2,0.7142857142857143,False
40.0,0.03,34,3,3,0,4,0.42857142857142855,False
50.0,0.002,34,9,7,2,0,0.7777777777777778,False
50.0,0.003,34,8,7,1,0,0.875,False
50.0,0.005,34,7,7,0,0,1.0,True
50.0,0.01,34,7,7,0,0,1.0,True
50.0,0.015,34,6,6,0,1,0.8571428571428571,False
50.0,0.02,34,5,5,0,2,0.7142857142857143,False
50.0,0.03,34,3,3,0,4,0.42857142857142855,False
60.0,0.002,34,8,6,2,1,0.6666666666666666,False
60.0,0.003,34,7,6,1,1,0.75,False
60.0,0.005,34,6,6,0,1,0.8571428571428571,False
60.0,0.01,34,6,6,0,1,0.8571428571428571,False
60.0,0.015,34,5,5,0,2,0.7142857142857143,False
60.0,0.02,34,4,4,0,3,0.5714285714285714,False
60.0,0.03,34,2,2,0,5,0.2857142857142857,False
70.0,0.002,34,8,6,2,1,0.6666666666666666,False
70.0,0.003,34,7,6,1,1,0.75,False
70.0,0.005,34,6,6,0,1,0.8571428571428571,False
70.0,0.01,34,6,6,0,1,0.8571428571428571,False
70.0,0.015,34,5,5,0,2,0.7142857142857143,False
70.0,0.02,34,4,4,0,3,0.5714285714285714,False
70.0,0.03,34,2,2,0,5,0.2857142857142857,False
80.0,0.002,34,6,5,1,2,0.625,False
80.0,0.003,34,5,5,0,2,0.7142857142857143,False
80.0,0.005,34,5,5,0,2,0.7142857142857143,False
80.0,0.01,34,5,5,0,2,0.7142857142857143,False
80.0,0.015,34,4,4,0,3,0.5714285714285714,False
80.0,0.02,34,3,3,0,4,0.42857142857142855,False
80.0,0.03,34,1,1,0,6,0.14285714285714285,False
