relative_path,filename,extension,byte_size,sha256,detected_type,mime_type,archive_status,parse_status,package_id,inferred_role,notes
41929_2025_1291_MOESM11_ESM.xlsx,41929_2025_1291_MOESM11_ESM.xlsx,.xlsx,13551,dac526645ee459e8823a248eccb460459b32bd5e8410f15fc98ea004ee8b2613,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,OOXML ZIP container,CRC OK,MOESM11,Source Data Fig. 1 workbook,Figure-package mapping checked separately against publisher page
41929_2025_1291_MOESM12_ESM.xlsx,41929_2025_1291_MOESM12_ESM.xlsx,.xlsx,15121,a238268e6d03514af7eda367e4d1d561eca697ac9cec1cd3ad6769b51bb62036,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,OOXML ZIP container,CRC OK,MOESM12,Source Data Fig. 2 workbook,Figure-package mapping checked separately against publisher page
41929_2025_1291_MOESM13_ESM.xlsx,41929_2025_1291_MOESM13_ESM.xlsx,.xlsx,98804,ab8f1a2cb4d8517177f69eac5cd6165b035395fa5b1f0227adf5b460c87e4f53,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,OOXML ZIP container,CRC OK,MOESM13,Source Data Fig. 3 workbook,Figure-package mapping checked separately against publisher page
41929_2025_1291_MOESM14_ESM.xlsx,41929_2025_1291_MOESM14_ESM.xlsx,.xlsx,786952,2f0ae2e0488f831cb2d1e3d07d207faf6b6b8dcb37b8e87c1e72a486b9ca4dcd,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,OOXML ZIP container,CRC OK,MOESM14,Source Data Extended Data Fig. 4 (publisher label),Workbook sheet says Extended Data Fig. 3; publisher/workbook label discrepancy
41929_2025_1291_MOESM1_ESM.pdf,41929_2025_1291_MOESM1_ESM.pdf,.pdf,11898869,dfad0dafa90836fd616ea441f18beb04772262f53f8f8e239b004027f881abd6,pdf,application/pdf,not archive,parsed 99 pages,MOESM1,Supplementary Information PDF,Publisher-package identifier encoded in filename
41929_2025_1291_MOESM2_ESM.xlsx,41929_2025_1291_MOESM2_ESM.xlsx,.xlsx,7321003,4b298ecb9f8b9cf474d8215686b6aae82eeea96499ee0f0899e91279c3d9de5c,xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,OOXML ZIP container,CRC OK,MOESM2,Supplementary Data 1 workbook,Supplementary figure source data; detailed workbook audit separate
41929_2025_1291_MOESM3_ESM.txt,41929_2025_1291_MOESM3_ESM.txt,.txt,2500,492a3ea2d6ca69db0a5c3ec0d4e86eaa2c588970058c09c090799cc8e45e3c14,text,text/plain; charset=utf-8,not archive,UTF-8 decoded,MOESM3,optimized computational structure,Supplementary Data 2: GS; direct publisher package description
41929_2025_1291_MOESM4_ESM.txt,41929_2025_1291_MOESM4_ESM.txt,.txt,2350,a3144453f584b5431c46c237d3ca476388f72814c19fb6e7a32728680b455a53,text,text/plain; charset=utf-8,not archive,UTF-8 decoded,MOESM4,optimized computational structure,Supplementary Data 3: TI1; direct publisher package description
41929_2025_1291_MOESM5_ESM.txt,41929_2025_1291_MOESM5_ESM.txt,.txt,2500,49d697fde386ba82c3a2f3325f3c87f30eda561c875b9ed0347bfd3d5618728a,text,text/plain; charset=utf-8,not archive,UTF-8 decoded,MOESM5,optimized computational structure,Supplementary Data 4: MS; direct publisher package description
41929_2025_1291_MOESM6_ESM.txt,41929_2025_1291_MOESM6_ESM.txt,.txt,2500,360a3cd0823bf9ea670af79b971de61ff9757fb6a728436198033620328956dd,text,text/plain; charset=utf-8,not archive,UTF-8 decoded,MOESM6,optimized computational structure,Supplementary Data 5: TI2; direct publisher package description
