package_id,filename,publisher_label,publisher_description,url,local_status,source_page,retrieved_date
MOESM1,41929_2025_1291_MOESM1_ESM.pdf,Supplementary Information (download PDF ),"Supplementary methods, note, discussion, Figs. 1–61, Tables 1–19 and references.",https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41929-025-01291-z/MediaObjects/41929_2025_1291_MOESM1_ESM.pdf,present,https://www.nature.com/articles/s41929-025-01291-z,2026-09-13
MOESM2,41929_2025_1291_MOESM2_ESM.xlsx,Supplementary Data 1 (download XLSX ),Source Data for Supplementary Figs.,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41929-025-01291-z/MediaObjects/41929_2025_1291_MOESM2_ESM.xlsx,present,https://www.nature.com/articles/s41929-025-01291-z,2026-09-13
MOESM3,41929_2025_1291_MOESM3_ESM.txt,Supplementary Data 2 (download TXT ),DFT optimized coordinates of GS.,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41929-025-01291-z/MediaObjects/41929_2025_1291_MOESM3_ESM.txt,present,https://www.nature.com/articles/s41929-025-01291-z,2026-09-13
MOESM4,41929_2025_1291_MOESM4_ESM.txt,Supplementary Data 3. (download TXT ),DFT optimized coordinates of TI1.,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41929-025-01291-z/MediaObjects/41929_2025_1291_MOESM4_ESM.txt,present,https://www.nature.com/articles/s41929-025-01291-z,2026-09-13
MOESM5,41929_2025_1291_MOESM5_ESM.txt,Supplementary Data 4. (download TXT ),DFT optimized coordinates of MS.,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41929-025-01291-z/MediaObjects/41929_2025_1291_MOESM5_ESM.txt,present,https://www.nature.com/articles/s41929-025-01291-z,2026-09-13
MOESM6,41929_2025_1291_MOESM6_ESM.txt,Supplementary Data 5. (download TXT ),DFT optimized coordinates of TI2.,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41929-025-01291-z/MediaObjects/41929_2025_1291_MOESM6_ESM.txt,present,https://www.nature.com/articles/s41929-025-01291-z,2026-09-13
MOESM7,41929_2025_1291_MOESM7_ESM.txt,Supplementary Data 6. (download TXT ),DFT optimized coordinates of TI3.,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41929-025-01291-z/MediaObjects/41929_2025_1291_MOESM7_ESM.txt,present,https://www.nature.com/articles/s41929-025-01291-z,2026-09-13
MOESM8,41929_2025_1291_MOESM8_ESM.txt,Supplementary Data 7. (download TXT ),DFT optimized coordinates of TI4.,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41929-025-01291-z/MediaObjects/41929_2025_1291_MOESM8_ESM.txt,present,https://www.nature.com/articles/s41929-025-01291-z,2026-09-13
MOESM9,41929_2025_1291_MOESM9_ESM.zip,Supplementary Data 8. (download ZIP ),Coordinate files of the initial and final configurations for all combinations in molecular dynamics simulations.,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41929-025-01291-z/MediaObjects/41929_2025_1291_MOESM9_ESM.zip,archive absent; MD_configurations likely expanded copy,https://www.nature.com/articles/s41929-025-01291-z,2026-09-13
MOESM10,41929_2025_1291_MOESM10_ESM.cif,Supplementary Data 9.,cif file of CAT1.,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41929-025-01291-z/MediaObjects/41929_2025_1291_MOESM10_ESM.cif,absent locally,https://www.nature.com/articles/s41929-025-01291-z,2026-09-13
MOESM11,41929_2025_1291_MOESM11_ESM.xlsx,Source Data Fig. 1. (download XLSX ),Statistical source data.,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41929-025-01291-z/MediaObjects/41929_2025_1291_MOESM11_ESM.xlsx,present,https://www.nature.com/articles/s41929-025-01291-z,2026-09-13
MOESM12,41929_2025_1291_MOESM12_ESM.xlsx,Source Data Fig. 2. (download XLSX ),Statistical source data.,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41929-025-01291-z/MediaObjects/41929_2025_1291_MOESM12_ESM.xlsx,present,https://www.nature.com/articles/s41929-025-01291-z,2026-09-13
MOESM13,41929_2025_1291_MOESM13_ESM.xlsx,Source Data Fig. 3. (download XLSX ),Statistical source data.,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41929-025-01291-z/MediaObjects/41929_2025_1291_MOESM13_ESM.xlsx,present,https://www.nature.com/articles/s41929-025-01291-z,2026-09-13
MOESM14,41929_2025_1291_MOESM14_ESM.xlsx,Source Data Extended Data Fig. 4. (download XLSX ),Statistical source data.,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41929-025-01291-z/MediaObjects/41929_2025_1291_MOESM14_ESM.xlsx,present,https://www.nature.com/articles/s41929-025-01291-z,2026-09-13
