relative_path,format,geometry_blocks,atom_count,composition,ordered_elements_sha256,transition_metal_positions_1based,cat_id_from_filename,ps_id_from_filename,stage_from_filename,blank_line_count,metadata_line_count,parse_status
41929_2025_1291_MOESM3_ESM.txt,headerless element-x-y-z,1,50,C:15;Co:1;H:27;N:5;O:2,ca245bd2c5ae4f8a1115958004bf8ff8ccce5fe2358bb5eb8469ac3773373a45,Co:1,,,optimized structure (publisher mapping),0,0,all rows finite element-x-y-z
41929_2025_1291_MOESM4_ESM.txt,headerless element-x-y-z,1,47,C:15;Co:1;H:25;N:5;O:1,a59b7791f39de49b99db724c037190885813009630699452412856daa0f4e04a,Co:1,,,optimized structure (publisher mapping),0,0,all rows finite element-x-y-z
41929_2025_1291_MOESM5_ESM.txt,headerless element-x-y-z,1,50,C:16;Co:1;H:25;N:5;O:3,80875a0108a0edf2cb63a0f6d1bd0fb0032ce03091679f8e79ec3d9b26fd013f,Co:1,,,optimized structure (publisher mapping),0,0,all rows finite element-x-y-z
41929_2025_1291_MOESM6_ESM.txt,headerless element-x-y-z,1,50,C:16;Co:1;H:25;N:5;O:3,80875a0108a0edf2cb63a0f6d1bd0fb0032ce03091679f8e79ec3d9b26fd013f,Co:1,,,optimized structure (publisher mapping),0,0,all rows finite element-x-y-z
41929_2025_1291_MOESM7_ESM.txt,headerless element-x-y-z,1,51,C:16;Co:1;H:26;N:5;O:3,dea32285be81fe076dfd6bb65da4f288c7d86fa896e8f488e49c4a33ab427206,Co:41,,,optimized structure (publisher mapping),0,0,all rows finite element-x-y-z
41929_2025_1291_MOESM8_ESM.txt,headerless element-x-y-z,1,49,C:16;Co:1;H:25;N:5;O:2,f32af914c5f6e5bcbca7c05bb7d895637e7bcd09e20c5fa4e5c1ec29a97c0cc1,Co:1,,,optimized structure (publisher mapping),0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-10_final.txt,headerless element-x-y-z,1,150,C:63;Cl:2;Cu:1;H:63;N:7;O:11;P:2;Zn:1,25a9db44d9d0097ab02413a9d59c8f78353410cc21ff22a392cfbe28270d3947,Zn:54;Cu:61,10,10,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-10_initial.txt,headerless element-x-y-z,1,150,C:63;Cl:2;Cu:1;H:63;N:7;O:11;P:2;Zn:1,25a9db44d9d0097ab02413a9d59c8f78353410cc21ff22a392cfbe28270d3947,Zn:54;Cu:61,10,10,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-11_final.txt,headerless element-x-y-z,1,151,C:65;Cl:2;Cu:1;H:61;N:7;O:11;P:2;S:1;Zn:1,a30e74fc176a8d9b9cfdedb177f91cec36f1ac00f2ddc41275c2d3c9493be8a0,Zn:54;Cu:61,10,11,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-11_initial.txt,headerless element-x-y-z,1,151,C:65;Cl:2;Cu:1;H:61;N:7;O:11;P:2;S:1;Zn:1,a30e74fc176a8d9b9cfdedb177f91cec36f1ac00f2ddc41275c2d3c9493be8a0,Zn:54;Cu:61,10,11,initial,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-12_final.txt,headerless element-x-y-z,1,165,C:69;Cl:2;Cu:1;H:69;N:7;O:13;P:2;S:1;Zn:1,cd4c3fd635ac1a835804c30586307eedbeed48fcd65f2574d81a523a8abf8d27,Zn:54;Cu:61,10,12,final,0,0,all rows finite element-x-y-z
MD_configurations/cat-10_pho-12_initial.txt,headerless element-x-y-z,1,165,C:69;Cl:2;Cu:1;H:69;N:7;O:13;P:2;S:1;Zn:1,cd4c3fd635ac1a835804c30586307eedbeed48fcd65f2574d81a523a8abf8d27,Zn:54;Cu:61,10,12,initial,0,0,all rows finite element-x-y-z
